"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",2.01376166332643e-32,0.679422998610939,0.399,0.196,6.40174832771473e-28
"2",3.38954380998743e-28,0.657380361997917,0.336,0.158,1.077535977195e-23
"3",9.16973730773987e-21,0.430293154535616,0.512,0.332,2.9150594901305e-16
"4",1.44128373004542e-19,0.402428733636755,0.146,0.045,4.5818409778144e-15
"5",3.12746007744494e-19,0.41577669775979,0.511,0.338,9.94219558619748e-15
"6",8.23779310790536e-16,0.457630729778038,0.259,0.133,2.61879442900311e-11
"7",2.27992426135229e-15,0.442081692431769,0.358,0.22,7.24787922683892e-11
"8",4.63842224345589e-15,0.461477666268134,0.288,0.161,1.47455443119463e-10
"9",2.33282785019555e-12,0.404371893385356,0.199,0.099,7.41605973577165e-08
"10",5.23860588022827e-12,0.362306250679104,0.177,0.085,1.66535280932457e-07
"11",9.38055831367296e-12,0.408830861221488,0.23,0.126,2.98207948791664e-07
"12",7.1576587970577e-11,0.404637174825431,0.38,0.262,2.27541973158464e-06
"13",3.63662422223419e-10,0.342747043817756,0.221,0.125,1.15608284024825e-05
"14",6.72615839535193e-10,0.319138122842921,0.497,0.381,2.13824575388238e-05
"15",9.21821935917656e-09,0.286475067090358,0.275,0.178,0.000293047193428223
"16",1.65151602049398e-08,0.304158655136697,0.345,0.24,0.000525016942915037
"17",1.4203066544772e-07,0.295281775253582,0.274,0.184,0.00451515485458301
"18",2.79745832362824e-07,0.28440312669523,0.463,0.367,0.00889312001081419
"19",2.22078997903544e-05,0.280155089646603,0.219,0.151,0.705989134335367
"20",0.000307957239434497,0.295108724239799,0.233,0.171,1
"21",3.73892684642648e-19,-0.289500857401218,0.001,0.048,1.18860484447898e-14
"22",7.38836037919866e-18,-0.297810625062692,0.621,0.684,2.34875976454725e-13
"23",8.75941091271816e-16,-0.442048724178087,0.254,0.375,2.7846167291531e-11
"24",2.17965302440638e-15,-0.337267447048923,0.396,0.48,6.92911696458789e-11
"25",2.05236358052745e-14,-0.317007472283664,0.463,0.559,6.52446382249678e-10
"26",5.7820162288981e-13,-0.252676237143332,0.746,0.789,1.8381029591667e-08
"27",5.49759503318999e-10,-0.291770984301285,0.249,0.316,1.7476854610511e-05
"28",1.30866818276283e-09,-0.323718100854704,0.195,0.257,4.16025615300305e-05
"29",1.36803447871842e-09,-0.313598412891172,0.314,0.431,4.34898160784586e-05
"30",5.19850330494161e-09,-0.28295893638552,0.223,0.291,0.000165260420064094
"31",1.62128132931898e-08,-0.282961749340105,0.304,0.377,0.000515405334590505
"32",8.68935795155476e-08,-0.258781647449264,0.278,0.334,0.00276234689279926
"33",1.41940441026331e-07,-0.245484649274869,0.258,0.305,0.00451228662022707
"34",5.12755538270977e-07,-0.251194864974321,0.308,0.368,0.0163004985616344
"35",7.27767367150981e-07,-0.27419196502406,0.262,0.34,0.0231357246017297
"36",5.62474285399956e-06,-0.250842702013768,0.108,0.154,0.178810575328646
"37",7.38553564916506e-06,-0.244766162971532,0.133,0.18,0.234786178286957
"38",1.08879019065739e-05,-0.263663082806728,0.096,0.138,0.346126401609983
"39",2.68260119872827e-05,-0.255158748310639,0.097,0.144,0.852798921075716
"40",4.66291769910962e-05,-0.261224376142433,0.153,0.208,1
