"","colour","ymin","lower","middle","upper","ymax","notchupper","notchlower","x","flipped_aes","PANEL","group","ymin_final","ymax_final","xmin","xmax","weight","fill","alpha","shape","linetype","linewidth"
"1","#440154FF",0.39053907954579,0.392009181702532,0.393479283859274,0.432220839355381,0.470962394851487,0.430160897824558,0.35679766989399,0.75,FALSE,"1",1,0.39053907954579,0.470962394851487,0.6375,0.8625,1,"white",NA,19,"solid",0.5
"2","#21908CFF",0.480538918340277,0.495489998416431,0.510441078492586,0.522096576411226,0.533752074329866,0.534711956141251,0.486170200843921,1,FALSE,"1",2,0.480538918340277,0.533752074329866,0.8875,1.1125,1,"white",NA,19,"solid",0.5
"3","#CC9900",0.358946627243546,0.371980734234339,0.385014841225132,0.418375383528585,0.451735925832038,0.427336663174338,0.342693019275926,1.25,FALSE,"1",3,0.358946627243546,0.451735925832038,1.1375,1.3625,1,"white",NA,19,"solid",0.5
"4","#440154FF",0.138041965888086,0.140096857503869,0.142151749119652,0.153485113851964,0.164818478584276,0.154364696302005,0.129938801937299,1.75,FALSE,"1",4,0.138041965888086,0.164818478584276,1.6375,1.8625,1,"white",NA,19,"solid",0.5
"5","#21908CFF",0.128797569242126,0.130680045847173,0.132562522452219,0.133450400566524,0.134338278680828,0.135089677220109,0.13003536768433,2,FALSE,"1",5,0.128797569242126,0.134338278680828,1.8875,2.1125,1,"white",NA,19,"solid",0.5
"6","#CC9900",0.144278677780446,0.148226631723334,0.152174585666222,0.15460754324282,0.157040500819417,0.157995338820074,0.146353832512371,2.25,FALSE,"1",6,0.144278677780446,0.157040500819417,2.1375,2.3625,1,"white",NA,19,"solid",0.5
"7","#440154FF",0.0307922258689952,0.0317125689363492,0.0326329120037033,0.0347230964240802,0.0368132808444572,0.0353791555953052,0.0298866684121014,2.75,FALSE,"1",7,0.0307922258689952,0.0368132808444572,2.6375,2.8625,1,"white",NA,19,"solid",0.5
"8","#21908CFF",0.0646010573654923,0.0648293180315048,0.0650575786975173,0.0658216209511873,0.0665856632048573,0.0659627707428355,0.0641523866521991,3,FALSE,"1",8,0.0646010573654923,0.0665856632048573,2.8875,3.1125,1,"white",NA,19,"solid",0.5
"9","#CC9900",0.060793844442171,0.0613704154250063,0.0619469864078416,0.0659602431431515,0.0699734998784615,0.0661338888722378,0.0577600839434455,3.25,FALSE,"1",9,0.060793844442171,0.0699734998784615,3.1375,3.3625,1,"white",NA,19,"solid",0.5
"10","#440154FF",0.170179182078848,0.171263695199127,0.172348208319406,0.174198226267725,0.176048244216045,0.175025126957199,0.169671289681612,3.75,FALSE,"1",10,0.170179182078848,0.176048244216045,3.6375,3.8625,1,"white",NA,19,"solid",0.5
"11","#21908CFF",0.110296774260486,0.115723997127851,0.121151219995216,0.130247453209976,0.139343686424737,0.13439971161537,0.107902728375061,4,FALSE,"1",11,0.110296774260486,0.139343686424737,3.8875,4.1125,1,"white",NA,19,"solid",0.5
"12","#CC9900",0.166304898624121,0.168942744000714,0.171580589377307,0.176088284911988,0.18059598044667,0.178098847727742,0.165062331026871,4.25,FALSE,"1",12,0.166304898624121,0.18059598044667,4.1375,4.3625,1,"white",NA,19,"solid",0.5
"13","#440154FF",0.000863547230777313,0.00153964686679626,0.0022157465028152,0.00349479934783604,0.00477385219285689,0.00399926284456663,0.00043223016106376,4.75,FALSE,"1",13,0.000863547230777313,0.00477385219285689,4.6375,4.8625,1,"white",NA,19,"solid",0.5
"14","#21908CFF",0,5.13450555245998e-05,0.0001026901110492,0.000245734960905555,0.00038877981076191,0.000280015192484315,-7.46349703859158e-05,5,FALSE,"1",14,0,0.00038877981076191,4.8875,5.1125,1,"white",NA,19,"solid",0.5
"15","#CC9900",0.0030524836967348,0.00319076941327428,0.00332905512981376,0.00396509251570792,0.00460112990160209,0.00403540305938886,0.00262270720023866,5.25,FALSE,"1",15,0.0030524836967348,0.00460112990160209,5.1375,5.3625,1,"white",NA,19,"solid",0.5
"16","#440154FF",0.098349116400693,0.110845555180308,0.123341993959924,0.124280758376781,0.125219522793637,0.135597766687643,0.111086221232205,5.75,FALSE,"1",16,0.098349116400693,0.125219522793637,5.6375,5.8625,1,"white",NA,19,"solid",0.5
"17","#21908CFF",0.0798601174456024,0.0842969596192783,0.0887338017929542,0.0898567092591622,0.0909796167253703,0.0938054800558722,0.0836621235300362,6,FALSE,"1",17,0.0798601174456024,0.0909796167253703,5.8875,6.1125,1,"white",NA,19,"solid",0.5
"18","#CC9900",0.0989922469573926,0.10002907841651,0.101065909875627,0.10245527476959,0.103844639663553,0.103279118761368,0.0988527009898861,6.25,FALSE,"1",18,0.0989922469573926,0.103844639663553,6.1375,6.3625,1,"white",NA,19,"solid",0.5
"19","#440154FF",0.0608421695781771,0.094703112048652,0.128564054519127,0.13279352308055,0.137022991641973,0.163310638838366,0.0938174701998877,6.75,FALSE,"1",19,0.0608421695781771,0.137022991641973,6.6375,6.8625,1,"white",NA,19,"solid",0.5
"20","#21908CFF",0.0636588129878306,0.0728049607231443,0.081951108458458,0.0944048798201115,0.106858651181765,0.101654844644529,0.0622473722723871,7,FALSE,"1",20,0.0636588129878306,0.106858651181765,6.8875,7.1125,1,"white",NA,19,"solid",0.5
"21","#CC9900",0.0674925689956767,0.0927827257947752,0.118072882593874,0.128617504018114,0.139162125442354,0.150761848382554,0.0853839168051936,7.25,FALSE,"1",21,0.0674925689956767,0.139162125442354,7.1375,7.3625,1,"white",NA,19,"solid",0.5
