"","MGI Gene/Marker ID","Symbol","Name","Chr","Qualifier","Annotated Term","Context","Proteoform","Evidence","Inferred From","Reference(s)"
"1","MGI:88180","Bmp4","bone morphogenetic protein 4","14",NA,"negative regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:2213","J:155856"
"2","MGI:88276","Ctnnb1","catenin (cadherin associated protein), beta 1","9",NA,"negative regulation of oligodendrocyte differentiation","regulates a function/process that happens in forebrain,regulates the differentiation of oligodendrocyte|regulates a function/process that happens in spinal cord,regulates the differentiation of oligodendrocyte",NA,"IMP","MGI:1858008","J:152576"
"3","MGI:1923691","Daam2","dishevelled associated activator of morphogenesis 2","17",NA,"negative regulation of oligodendrocyte differentiation",NA,NA,"IBA","PTN002906240","J:265628"
"4","MGI:1923691","Daam2","dishevelled associated activator of morphogenesis 2","17",NA,"negative regulation of oligodendrocyte differentiation",NA,NA,"IDA",NA,"J:221126"
"5","MGI:94901","Dlx1","distal-less homeobox 1","2",NA,"negative regulation of oligodendrocyte differentiation","regulates a function/process that happens in cerebral cortex,regulates the differentiation of oligodendrocyte",NA,"IGI","MGI:94902","J:132162"
"6","MGI:94901","Dlx1","distal-less homeobox 1","2",NA,"negative regulation of oligodendrocyte differentiation","regulates a function/process that happens in corpus striatum",NA,"IGI","MGI:94902","J:196218"
"7","MGI:94902","Dlx2","distal-less homeobox 2","2",NA,"negative regulation of oligodendrocyte differentiation","regulates a function/process that happens in cerebral cortex,regulates the differentiation of oligodendrocyte",NA,"IGI","MGI:94901","J:132162"
"8","MGI:94902","Dlx2","distal-less homeobox 2","2",NA,"negative regulation of oligodendrocyte differentiation","regulates a function/process that happens in corpus striatum",NA,"IGI","MGI:94901","J:196218"
"9","MGI:94925","Drd3","dopamine receptor D3","16",NA,"negative regulation of oligodendrocyte differentiation","regulates a function/process that happens in telencephalon,regulates the differentiation of oligodendrocyte",NA,"IDA",NA,"J:48510"
"10","MGI:1927070","Dusp10","dual specificity phosphatase 10","1",NA,"negative regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:1310844","J:155856"
"11","MGI:104853","Hes1","hes family bHLH transcription factor 1","16",NA,"negative regulation of oligodendrocyte differentiation",NA,NA,"IDA",NA,"J:82774"
"12","MGI:104853","Hes1","hes family bHLH transcription factor 1","16",NA,"negative regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:62081","J:155856"
"13","MGI:104876","Hes5","hes family bHLH transcription factor 5","4",NA,"negative regulation of oligodendrocyte differentiation",NA,NA,"IDA",NA,"J:82774"
"14","MGI:104876","Hes5","hes family bHLH transcription factor 5","4",NA,"negative regulation of oligodendrocyte differentiation","regulates a function/process that happens in brain,regulates the differentiation of oligodendrocyte",NA,"IMP","MGI:2149674","J:119556"
"15","MGI:96397","Id2","inhibitor of DNA binding 2","12",NA,"negative regulation of oligodendrocyte differentiation","regulates the differentiation of oligodendrocyte",NA,"IMP","MGI:2384134","J:107684"
"16","MGI:99414","Id4","inhibitor of DNA binding 4","13",NA,"negative regulation of oligodendrocyte differentiation","regulates a function/process that happens in corpus callosum,regulates the differentiation of oligodendrocyte|regulates a function/process that happens in brain subventricular zone,regulates the differentiation of oligodendrocyte",NA,"IMP","MGI:3579084","J:156121"
"17","MGI:1915522","Lingo1","leucine rich repeat and Ig domain containing 1","9",NA,"negative regulation of oligodendrocyte differentiation","regulates the differentiation of oligodendrocyte",NA,"IMP",NA,"J:99078"
"18","MGI:97306","Nf1","neurofibromin 1","11",NA,"negative regulation of oligodendrocyte differentiation","regulates a function/process that happens in telencephalon,regulates the differentiation of oligodendrocyte",NA,"IMP","MGI:1857444","J:98766"
"19","MGI:97363","Notch1","notch 1","2",NA,"negative regulation of oligodendrocyte differentiation",NA,NA,"IDA",NA,"J:82774"
"20","MGI:1927664","Sirt2","sirtuin 2","7",NA,"negative regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:621481","J:155856"
"21","MGI:1923457","Tmem98","transmembrane protein 98","11",NA,"negative regulation of oligodendrocyte differentiation",NA,NA,"IMP",NA,"J:267268"
