,Atf2(+),Atf3(+),Bach1(+),Bach2(+),Batf(+),Bcl3(+),Cebpb(+),Cebpg(+),Dlx1(+),Dlx5(+),Dlx6(+),E2f1(+),E2f4(+),Egr1(+),Elf1(+),Elf4(+),Elk3(+),Ep300(+),Erg(+),Esrrg(+),Ets1(+),Ets2(+),Etv6(+),Ezh2(+),Fli1(+),Fos(+),Fosb(+),Fosl1(+),Fosl2(+),Foxo3(+),Gata2(+),Gata3(+),Gli1(+),Gm6871(+),Hdac2(+),Hoxb4(+),Ikzf1(+),Irf1(+),Irf2(+),Irf4(+),Irf5(+),Irf7(+),Jun(+),Junb(+),Jund(+),Kdm5a(+),Kdm5b(+),Klf3(+),Klf4(+),Klf6(+),Lhx6(+),Mafa(+),Mafb(+),Mef2c(+),Mef2d(+),Msx1(+),Mybl1(+),Myc(+),Neurod2(+),Nfic(+),Nfil3(+),Nkx2-2(+),Nr1d1(+),Nr1h3(+),Otx2(+),Pax3(+),Pax5(+),Pou2f1(+),Pou3f1(+),Pou3f2(+),Ppargc1a(+),Prdm1(+),Rad21(+),Rcor1(+),Rel(+),Relb(+),Rest(+),Rfx1(+),Rfx2(+),Rfx3(+),Runx1(+),Setdb1(+),Smarca4(+),Sox10(+),Sox13(+),Sox17(+),Sox30(+),Sox4(+),Sox9(+),Sp1(+),Spi1(+),Srebf1(+),Srf(+),Stat1(+),Stat2(+),Stat3(+),Stat6(+),Taf1(+),Tal1(+),Tbx3(+),Tbx6(+),Tcf7(+),Tcf7l1(+),Tcf7l2(+),Tgif1(+),Trp53(+),Usf1(+),Vsx2(+),Yy1(+),Zeb1(+),Zfp143(+),Zfp217(+),Zfp652(+),Zic1(+),Zmiz1(+)
Astrocytes_Ctrl,0.18665977719147697,0.21012911348518404,0.18703096817298936,0.19154805932371244,0.20362975849407672,0.18957927110823436,0.19821526586258154,0.19473169586586092,0.18287020243997731,0.18433261641800924,0.18858362710335874,0.19363937801768372,0.1931527771228091,0.1924362194746897,0.1916932444947428,0.1889455651307117,0.1942277683793262,0.19202750835620674,0.19605101765617194,0.17345269444327482,0.19308486339875897,0.1940596152347699,0.19111890485639815,0.19190922548101308,0.19463534544888716,0.1910020730392631,0.19163540494595876,0.1838173683599582,0.18738536229255853,0.20840394156521758,0.20182046343913795,0.19162739108644966,0.2469627093410427,0.18770397164787134,0.18208606277662853,0.20079499477245555,0.18999575878325903,0.19302932312797272,0.17599370435856165,0.1961276782879109,0.18971015686514725,0.20077609193193402,0.20645533269723848,0.192407793137787,0.19528879971301816,0.1920854926565878,0.18991134831838807,0.19325280360708308,0.19490344842807905,0.20028422489187148,0.18224993418968294,0.19550391220891528,0.17018684216421442,0.1893682911745297,0.19599196168637667,0.20031351962907418,0.19518888783331545,0.18236693231133427,0.18548310418585912,0.1954219686280919,0.19037323388129046,0.19513714692616924,0.1906533113415253,0.19616871537805902,0.20440240983546576,0.18803748778997276,0.18657832432437693,0.20004789738740247,0.2015903115647517,0.26358140717961764,0.19357227264268406,0.1870936561202996,0.179579554396739,0.1860489411734595,0.1984219860940586,0.20145024989086535,0.20795916908143863,0.18659669815909663,0.20600286883941488,0.18697875272993936,0.1892764202986934,0.1905215210376009,0.18915528221827027,0.19033978799691043,0.22467229678115253,0.20084443346507452,0.18902636703681153,0.19652545781009823,0.24201536215087416,0.18921887552523686,0.1893105941889377,0.19877477174018932,0.19019884304238244,0.20171177437186072,0.19567644377467397,0.20181554491770037,0.19343643149124246,0.19125826786209266,0.18995111048795832,0.18695140476858918,0.20729944528888733,0.19431030826602647,0.21209795035972878,0.19630518416471598,0.1889935977959245,0.20076655216336692,0.1938232410257611,0.18535207009237342,0.1980158661084206,0.19303528912489643,0.18489347555870617,0.21004594911016272,0.1803805951932832,0.22235226730535906,0.1804230497502325
Excitatory Neurons_Ctrl,0.34317895035226986,0.2752255252257614,0.32634402208909297,0.33126276313245917,0.24204475077467313,0.21939513391583632,0.2990906918425944,0.2972678837259274,0.25673770567925636,0.31276645341887,0.32141061375765845,0.3340840201518306,0.3117282315134672,0.31994409187883577,0.22663138901409996,0.2707908245302617,0.27527525274195863,0.3178888283405831,0.3013212412403644,0.326850221390508,0.3039998521264805,0.27879561789517016,0.30510494788300824,0.28973368836432833,0.28819770086913876,0.3277661788087113,0.33424178971997665,0.21403987832475657,0.3448769596281517,0.22277003952229069,0.26661852416595455,0.27568116553959887,0.22248392113898519,0.24590465190752475,0.2584150906596201,0.18505540327906023,0.306516101245924,0.2809836359175456,0.34361913863660964,0.26003976148022667,0.2726334614368857,0.2762003658108413,0.2735873220423304,0.3301880433753338,0.3036177910887582,0.3177775475611221,0.34239272056326997,0.31427769730662314,0.19153870994727862,0.29469195950955385,0.3110414017155896,0.29604192533843876,0.17344327337733878,0.3414152492400312,0.3135141422801735,0.29082070284238215,0.22635597460741763,0.30844972476259636,0.35946067641065516,0.2299903074868933,0.3317365316331943,0.2711926376561409,0.18402106831851928,0.22683097928596363,0.31134047569866896,0.21898874347810915,0.28027499518318477,0.3343624258544542,0.29439601298497486,0.2526607684762535,0.34766572876564805,0.2544343581681865,0.21133332069924304,0.35140405354297644,0.2379170158114866,0.2464136989043244,0.2880394861299316,0.25305407926885604,0.30154587676948896,0.35588402103225414,0.3005944625661686,0.33464674204747635,0.33935651287116997,0.3056816781277242,0.2479837676982949,0.18332557983796993,0.21447183102467016,0.3019455622501328,0.2892622319634578,0.27009194003051595,0.281197611846947,0.2775173863666933,0.3103975823116757,0.20387890276560627,0.3076019010885427,0.3063688408818651,0.3001331660543203,0.32779307314876327,0.23041551881076616,0.182969593059795,0.23659667563458797,0.27371642226714465,0.301783902004779,0.307275795336294,0.23238115953082783,0.29460136908677814,0.3098185581352999,0.33726985746291327,0.2948372028526758,0.3315912655771278,0.3078162574050366,0.23147356280170528,0.3190778677688011,0.20544520034374836,0.35682531883884416
Oligodendrocytes_Ctrl,0.24203889301753412,0.2585658551187927,0.2372362985197597,0.25077507811198985,0.25817461030249167,0.340644364621458,0.25721815972582596,0.25823382610943546,0.2758574579929809,0.24839433455633841,0.24907124913628853,0.24150181838231966,0.26086884887818895,0.25965752669523456,0.3127246580054396,0.23716049525559701,0.2656751586242827,0.25487561142472714,0.2735693380863943,0.22370795577200953,0.2597013750008942,0.27080847188222246,0.2595542221888638,0.29918139208861383,0.2680430058453279,0.24929696587726502,0.24532276119011043,0.20498116021988877,0.23712785049796448,0.2335238531615007,0.2885769887393135,0.28550997522144117,0.23856727046039927,0.26887944617176207,0.21864576817171621,0.21181228681784348,0.2627514415693525,0.27727727789999257,0.24372565526262546,0.2646854152356398,0.2510021394010441,0.280718015841529,0.23631863831365996,0.24900708470160637,0.27307186454981813,0.26269981229546413,0.23760722809535073,0.26392046594776375,0.20890059079113688,0.2736104738435645,0.2356787203757844,0.26675037636777266,0.17284853516244492,0.22405987566728436,0.2574701721129191,0.255973922924146,0.29319741014470935,0.19386921183399775,0.21738743526141957,0.1927893718192697,0.24835801090894627,0.28658903981305295,0.176825043803028,0.2978048855879978,0.2508403440495306,0.21700136958357052,0.2337336111327204,0.2374149051107366,0.26393292512937316,0.2648465165533822,0.2237860181994501,0.2480810396534232,0.2890140232922148,0.23224606988728647,0.2411206651519816,0.28241945685902736,0.269354460541262,0.2232745272778488,0.26601990170279277,0.22633586449178722,0.25815271096175085,0.2435286173764346,0.2421314733368949,0.28817042351095146,0.2817164904970585,0.17685737185922168,0.23099650280807016,0.26652981728011904,0.2572155649830552,0.27306067241047893,0.25097668173694676,0.31726887004400595,0.2509564574673355,0.32225986943814444,0.25362527575030536,0.25884522536052246,0.24971000650967246,0.2506064629292234,0.24834546175610472,0.20411024701083735,0.2747181231301107,0.2606503605751336,0.2701383474057396,0.2696035689684555,0.2667386640067769,0.27853944295949296,0.2618056290042464,0.23162500556815935,0.27037001722163456,0.24907432330340973,0.2551888683376494,0.25396720728893585,0.19826521989344603,0.2462863343397157,0.1890688648523171
Inhibitory Neurons_Ctrl,0.20410695520232636,0.1870488990520186,0.22046086372749474,0.20366836710612324,0.18047111702872876,0.18304679925047374,0.19236936942731275,0.19763559912520712,0.2534135566701665,0.23629413559219925,0.22096611030600088,0.20043790285895202,0.20294631086545134,0.19742549640044027,0.1840081505372957,0.19163218984742258,0.1912132876413728,0.20030317208304582,0.19600520312157788,0.2268667442706902,0.2069696355070686,0.19032357622592222,0.2019304994406268,0.19723104240456502,0.1942607680106152,0.2038217077603719,0.20184562815283347,0.183002130361687,0.20417487841164228,0.1897631785178503,0.18721489139334901,0.1871308543221637,0.1794239707429236,0.18503175091190205,0.18806440916991218,0.17319887945164048,0.19667732247709502,0.1919939998171839,0.19713859281958068,0.1900319579459011,0.19442768342669658,0.19024788246590352,0.18164380763826204,0.20106298467466177,0.1972972107963451,0.19991276807556446,0.2023575606626521,0.19916193853632136,0.17399541781477434,0.19500171719877324,0.2557175987765099,0.19470623056565795,0.1737540435650663,0.22188489633658848,0.2005865125518077,0.18724168106541905,0.18510591325573456,0.21474744738694074,0.1933707267180096,0.18732551234000416,0.20232793445931352,0.19284189705657506,0.17179060136658064,0.18383453302793828,0.19671470099554955,0.18283023741938753,0.19408002560801496,0.20673890841617326,0.19285796641420228,0.18318273627069648,0.2144805698374056,0.18645455842117853,0.1801809361288238,0.19814021718943675,0.18530509004944873,0.18916077862835368,0.19120654704588114,0.18438729011689226,0.19652653861658087,0.1995195714596918,0.19608136450644265,0.2047440555091682,0.20182389657200273,0.19711720897892016,0.21273779510824709,0.16972508686924914,0.1874714817274835,0.19893685417368945,0.19684814693202057,0.18894603542008714,0.19578451490600113,0.19661399540446045,0.20355627038547108,0.17496534626821791,0.19918158397211938,0.1969123748744398,0.20209235087590793,0.206754715305295,0.18276407176284593,0.17565933899361064,0.18400268037296552,0.19256066936485683,0.19655346450747435,0.19930985826453262,0.18947299993490951,0.19358847930082956,0.20040685235038036,0.20836458265997249,0.19646433340173453,0.20113430499324547,0.1964112901685935,0.18429885305211102,0.20285543712471332,0.18452323841588747,0.20468193820132763
Microglia_Ctrl,0.18630309175052517,0.1960735261147306,0.18469845930768314,0.18809252713648206,0.20848436697897765,0.19840708914751926,0.2042714962652169,0.20558748721808706,0.1850535960898334,0.1839068701576917,0.18622793269828908,0.18188301182304734,0.19309693678670503,0.19366919704002938,0.2029639403350466,0.24701934796468628,0.22548920246190884,0.19835896534742692,0.19682542904232847,0.17634908826841877,0.20154902746880077,0.20502164703994252,0.2061298545408956,0.1915577575783015,0.21461893013056077,0.19126347071785932,0.18914108834830956,0.18190633676788348,0.18636811156999122,0.18554062740202748,0.20563059454309562,0.19756378964611232,0.18885612251977524,0.1879658404611958,0.18607454811851765,0.2330737304790763,0.20737247254774138,0.2128089960513201,0.18324943897154744,0.22308673439162752,0.24013465372642984,0.20676721512054885,0.18946101796746406,0.19039077531680093,0.19593336988430765,0.19290934735598542,0.18763800702999567,0.1933536871078857,0.1935268748151494,0.19874048384761045,0.1764075579305978,0.1952662022227748,0.3031669407677061,0.18002455932627437,0.1915959883851287,0.18935596534605337,0.2037871358181772,0.20654074672284162,0.18340362323970538,0.1849349013576821,0.18978075660740024,0.1803997614548014,0.17667478248471358,0.2087837968821875,0.18507095490945102,0.1991531925085951,0.207041825104622,0.17987022555125942,0.18568010616108832,0.19856638871043775,0.18337599236063995,0.2518245327119557,0.1735925379807085,0.1864294544711791,0.24455018157095731,0.21275262746125168,0.19393871074241664,0.18386325085036992,0.1958053093441584,0.18244472103889686,0.21532632530067208,0.18941796255254173,0.18897563571112042,0.18597613361907261,0.17205001242307327,0.17344679892907355,0.17492817069574185,0.19578339375431808,0.18494015150965493,0.19389750686859752,0.2339423258914891,0.18255456180998764,0.18953333985070175,0.21186504187699118,0.20009700024253219,0.19468402095639847,0.2056046468387409,0.1900405229382679,0.2625170349237016,0.19065069945161628,0.19701275176882982,0.1980127712663563,0.1890634317497767,0.1851715357554894,0.2471390021423897,0.19538252528766553,0.19697875415518162,0.1850961290643548,0.2003183539028044,0.18869907632048155,0.1945615420007326,0.23831328359796955,0.22375645160067037,0.17979756518451706,0.17540073241745857
OPC_Ctrl,0.18086722977284364,0.18373808377444945,0.1853466510329692,0.18268686957786795,0.18156834410379852,0.18533668608948917,0.18351702085916877,0.1807916116526357,0.18992698752723702,0.1882507319604052,0.18603350927583062,0.18522949881160755,0.18362795163493895,0.18399856178847196,0.18431338235005246,0.17979274465790518,0.18198229995455417,0.18224140560056423,0.18520169755550397,0.19112208460534263,0.18361680968836724,0.18363073647854344,0.1854349557501075,0.18583529324007653,0.18285332333615512,0.1821125740388736,0.181622762942388,0.17892713222635503,0.18078749360594415,0.18151613268757094,0.1847791120412149,0.18703297972397304,0.18889239395688318,0.18506388275845687,0.1818293912164941,0.18477980667198346,0.1824018234984376,0.18220276475284047,0.17474534642337092,0.18493779388011689,0.18179448085787475,0.18258584042817783,0.19939939085140912,0.18198293437961566,0.18315678227310894,0.1827040681020231,0.18100822766457558,0.1821001195160269,0.18049302171946657,0.18503158640086026,0.18573769775908755,0.1822001744776549,0.16931464109422012,0.1853930611925999,0.18465428454533883,0.18028962881619182,0.2025647080945684,0.17502536751305697,0.1780602501246632,0.17597143518300395,0.18091865307894472,0.20250054817467578,0.1742063119290299,0.18055724076362567,0.18432950852204333,0.17985604272831968,0.17967853465526817,0.18852901925429955,0.18500608042578248,0.19333665055202942,0.18431354742605877,0.18069938319551837,0.20199647692216194,0.17989081146162755,0.18788723574640975,0.18286394851552967,0.18647702486123618,0.1736003299125055,0.18494267205259596,0.18050859563565835,0.18101151611454602,0.182241175188131,0.18181159581452633,0.1878337416113911,0.19956166487826865,0.18974039820003308,0.18466407517997707,0.19416773183965952,0.18986557715544605,0.18901822727403617,0.18135327105470067,0.17993440687830575,0.1862695080905552,0.18070283534617215,0.18525701255315663,0.18718935284875315,0.18539601033900455,0.18202615917250908,0.1778503054877708,0.17489692445331773,0.19202445308545846,0.18796322924213482,0.1881145189305704,0.19419829606421934,0.17757120745183508,0.18481233715860224,0.18225706897672178,0.18299937554771661,0.1833060625448586,0.18419201353675363,0.1808979009488184,0.1845870482791815,0.184296843058131,0.18679618800698183,0.1862812873111661
Rest_Ctrl,0.18231449133797228,0.19270089351607933,0.18637104645725022,0.18354380312934515,0.2039431279920043,0.18249268115351047,0.1942182377521956,0.1929106480039281,0.18240525916652683,0.17993751451338358,0.1826876922086803,0.17980023010948565,0.1888536122557296,0.18618757626165616,0.19320634730908048,0.1883938151170247,0.19188949302476577,0.18656620090352571,0.19172070808382513,0.18015597332691602,0.18838265546360766,0.18961439504873578,0.1858545734674184,0.18385167999344632,0.1904106560670541,0.18465992251486651,0.18414010617194176,0.17910423017152532,0.18218879527850906,0.19631875204529126,0.19963156248158076,0.2016563273747436,0.2057540810042261,0.1798472541664733,0.18266664828519386,0.1891891622764188,0.18507619897353766,0.1897440345042125,0.17609650710305202,0.1956439964623493,0.18668500501442953,0.19425640980643966,0.19502332234470177,0.1845601038125092,0.19009227317053912,0.18585044007199503,0.18309836855007844,0.18817914554058845,0.21231419207486024,0.19357146473903908,0.17792715633690093,0.18651163717263353,0.18876864943079896,0.18113784403918098,0.18462712329440678,0.20230532323969352,0.1916793736007697,0.18268835746607348,0.17948738628558336,0.2059151705666783,0.18424276349744795,0.17682235143642522,0.1846442050346746,0.1905006115962955,0.20752167309620473,0.21368511759052078,0.18457911873261712,0.18084601491992747,0.18074993601661216,0.18691381389342498,0.1823007568594227,0.18833888666433962,0.19422370704857217,0.18184998002705732,0.1920953590286565,0.20493421623451558,0.1948452123224913,0.1843381772473448,0.19636940784505186,0.18137747696509143,0.18546231262341972,0.18409594169460752,0.18346185198706744,0.1811689134484874,0.19196896708035927,0.22170772200389,0.1809540602350972,0.18303705501305634,0.19004504379623,0.18902925200808862,0.1871590435476136,0.18159834616473336,0.18607820120416807,0.19352924492243584,0.1898267283566647,0.18814683837792778,0.19334871921251173,0.1843576220251366,0.19123986379061175,0.20022142259193898,0.18505616141913073,0.1967774471385615,0.18953268207379304,0.17952636608541972,0.18370309148835184,0.18479732625059264,0.18892257457588857,0.18417393193304576,0.19317666181662774,0.18368100540560395,0.1843614898737448,0.19603416235335924,0.18112191831420632,0.23708270220287642,0.17808216784297115
Excitatory Neurons_ADp40KO,0.3516351387700716,0.2736601453596861,0.3317541642807619,0.3411785574425388,0.24983866051039916,0.22144447014943813,0.3036117840760386,0.3020264683603897,0.26483428296198075,0.31888788371646826,0.32881698255171454,0.33658783828895666,0.3187837133059608,0.3283080411983582,0.2243070882330428,0.27580747487056956,0.28105310517098936,0.32703939403686233,0.30558223642265236,0.3256228470005821,0.3110604375947611,0.2827721966528348,0.3097806876197655,0.29453685464235324,0.2955456481049641,0.33681405441437273,0.3440088170715174,0.20971055633483182,0.3543949553018728,0.21720340252290415,0.2726996033090704,0.26414472775838815,0.22086798107102223,0.24543558860717563,0.2630189845619991,0.18636081879706545,0.3146454466766391,0.28619496905381114,0.3641870601282817,0.27097879144055304,0.27763173864446045,0.2811882941329007,0.2822251677016,0.3413860440530705,0.3118463831864332,0.3263171605399461,0.35288604885700403,0.3252569898074439,0.19661104250951067,0.2990710303895948,0.31703171371428684,0.2989754483722923,0.17712486051566312,0.33666808105227297,0.32046607785947956,0.2955875036232244,0.22686241288052877,0.30192357374774415,0.38052915523736686,0.2211676343729866,0.3419828097633889,0.2811053876881944,0.1853778559822742,0.22916630342101263,0.3119198898598081,0.21723648081141878,0.2853359133914072,0.34118590877499655,0.3011316681364685,0.24653184719457266,0.3524141016679927,0.2602908386640663,0.2043840027066307,0.3646122355681657,0.2376916188334699,0.25114553767603065,0.2918464614261659,0.2507796729913717,0.3039908215882342,0.36977650259537376,0.30879642712461997,0.3441176328552098,0.3488451297934895,0.31296689687593826,0.24000861860598632,0.18234549145261258,0.21011150478300866,0.30930580418494147,0.2914240001425875,0.2774855063091387,0.2873663543460879,0.27906315888596867,0.31946326975914996,0.2059090933851857,0.3168907284797706,0.31701996133347643,0.29762924680095626,0.3359148784231506,0.2357496073943487,0.18668526622477866,0.23327431449107106,0.282903561525792,0.3053112750380603,0.3156525305376613,0.22971321960345947,0.2999222629077717,0.31581070543066503,0.349732571792178,0.30222508452193353,0.34052327613551225,0.3203299826433853,0.2313448978784597,0.32754947967982906,0.1976091031129722,0.3625186594015315
Oligodendrocytes_ADp40KO,0.24516916546087775,0.2685933024073338,0.24341800985956774,0.25503909369703404,0.27120334217020947,0.34706986712896626,0.263369520311725,0.2648349549334763,0.2819398294860601,0.25263369641904354,0.25412735188202273,0.24650997046602852,0.2639042529587201,0.26536714519324966,0.31539441563313375,0.24134525476686808,0.27265757752255193,0.26023747443159695,0.2803517333635195,0.23161203648396744,0.26634734654170333,0.27775934543041547,0.265920500587143,0.30816038603110696,0.2751204455204289,0.2540856296348708,0.2492342195972196,0.1987490163660729,0.24026531388528372,0.23047627000344995,0.29763546271089836,0.28192681755068516,0.2465052490360038,0.2706020452237081,0.22013395010160697,0.2142340728083646,0.2688103864221203,0.2849952935392983,0.24870081523980292,0.27250362892071056,0.25697931165569776,0.288368931900595,0.24631462189366937,0.2530771442771814,0.2785012764601429,0.268476959753178,0.24183990842604297,0.26948915793117556,0.22247186664891538,0.2803735285351652,0.24049150689774756,0.26816683415582654,0.17387538830418447,0.2278796051115588,0.2630863150693662,0.2647458739593933,0.30251303016181874,0.19214133657892118,0.22157389943084616,0.18925974818071079,0.252638494180376,0.2997779855387208,0.17723872090520665,0.3098208101742195,0.2537302319606908,0.21760772725043886,0.23446704506558802,0.24415414190048745,0.27075287605481313,0.2683277873413198,0.22618158860829995,0.25496831358717864,0.27784281729664506,0.23619507351092217,0.2435599140658481,0.28868494135820955,0.2736226918611844,0.2269697973522361,0.2716527687798044,0.2301357001147003,0.26401007431244317,0.24713574869590982,0.24566117057437442,0.29634137169753416,0.2775494676297027,0.17737665090431431,0.2376268052229782,0.27358197731577183,0.26339172621248175,0.27889590171602063,0.25738130798489645,0.32950840295792383,0.2540239126331977,0.3387974277026088,0.26012438786649883,0.2661368467980576,0.2530180974512398,0.2550111321399037,0.2505321745889021,0.21152910254872648,0.2819293609632729,0.2681202633031414,0.27670060668897756,0.2714834400945809,0.2709627371515694,0.28784949589950837,0.26575366585171933,0.23055078292278575,0.27681169112025494,0.2543135457799848,0.2646359508332423,0.2614477787531766,0.20020534211726393,0.24542057897521152,0.1880560374993836
Inhibitory Neurons_ADp40KO,0.20412139964356169,0.18485557781072703,0.21929172979520406,0.2038250183191913,0.18031817577483977,0.1828447448738243,0.19150193887477773,0.19773547716704165,0.25287410073171135,0.23689311468586716,0.22156811244604935,0.2002685295121468,0.20258150845063216,0.19729767575704393,0.18452534780120877,0.19126690438394922,0.1907238164512528,0.20009419205011814,0.19538596941177844,0.2265000609587804,0.20678270532563658,0.18992772789047574,0.20160425433359874,0.19648757295358155,0.19393146195019662,0.20427535718050038,0.20216415268009325,0.18298357283735966,0.2044400687424942,0.19064779884964178,0.18651081738012065,0.18260536581210318,0.17897312363162798,0.1844006500649188,0.1888621967350722,0.1742884701824553,0.19637202439923718,0.19109900101171284,0.19717930675297113,0.18923907663452266,0.19445064950925806,0.1901945744481789,0.18164643724230134,0.20134990361898153,0.19711034117524928,0.1994808022500869,0.2023183764288189,0.19879133323354992,0.17541404891128576,0.1944970670869013,0.2546222434447396,0.19474579778193346,0.17419502133091547,0.22058602384245463,0.20000179372046611,0.18850998528908425,0.1826171810218794,0.2132456783017871,0.19346510635480552,0.18583006651342038,0.20257520352188174,0.19330072768962536,0.1738537366889561,0.1831073322562493,0.19519513601377203,0.18387959062520687,0.19322803575499792,0.20694734364312117,0.19162481479420357,0.18153789599646342,0.21369245217620736,0.18593084928480097,0.1794989578794901,0.19780981188310276,0.18368049423140875,0.18934687647157045,0.19231901812750174,0.18467444362804242,0.19551872354652522,0.19940389830954042,0.19588613667518173,0.204456691615008,0.20166073378344918,0.19685125270725023,0.21179967895456986,0.16991279386081026,0.18469610366688305,0.19879837127272104,0.19668590005203224,0.18824220313748696,0.19527927482951923,0.19664698276685255,0.2034159247924071,0.17280355060049757,0.19883519798246507,0.19688456288121692,0.20177535758462484,0.20690798813631184,0.18298141035543947,0.1750344737207954,0.18389671124423435,0.19187776934856693,0.19634183631325142,0.19986957591682208,0.1899319408057918,0.19306202346776746,0.1994726984104358,0.20935805528690166,0.19614278948787234,0.20099910280011712,0.19739905392481893,0.18307348260710177,0.20181153485398007,0.18428315860303168,0.20337520134421216
